Job;Evaluations;Productivity;Attendance;Absenteeism;Lateness;Discipline;Penalties;Innovation;Problem Solving;Work Quality;Work Completion Time
Accountant;0,82;0,95;0,89;0,04;0,04;0,90;0,04;0,06;0,06;0,93;0,99
Accountant;0,87;0,99;0,83;0,05;0,05;0,90;0,01;0,30;0,08;0,94;0,98
Accountant;0,94;0,98;0,97;0,03;0,05;0,97;0,04;0,09;0,09;0,99;0,91
Accountant;0,84;0,93;0,95;0,01;0,02;0,97;0,01;0,20;0,01;0,95;0,93
Accountant;0,85;0,98;0,91;0,04;0,06;0,93;0,00;0,16;0,07;0,93;0,96
Accountant;0,91;0,92;0,97;0,03;0,06;0,94;0,00;0,04;0,08;0,94;0,95
Accountant;1,00;0,95;0,98;0,04;0,08;0,95;0,04;0,03;0,04;1,00;0,94
Accountant;0,90;0,97;0,81;0,02;0,02;0,98;0,00;0,13;0,04;0,94;0,96
Accountant;0,82;0,92;0,93;0,01;0,00;0,91;0,02;0,28;0,08;0,91;1,00
Accountant;0,87;0,94;0,90;0,03;0,00;0,92;0,01;0,08;0,10;0,93;0,91
Accountant;0,82;1,00;0,94;0,04;0,08;0,94;0,02;0,21;0,08;0,94;0,91
Accountant;0,81;0,98;0,98;0,01;0,03;0,91;0,03;0,30;0,06;0,95;0,93
Accountant;0,85;0,98;1,00;0,03;0,05;0,95;0,04;0,26;0,09;0,99;1,00
Accountant;0,85;0,92;0,99;0,04;0,06;0,91;0,00;0,16;0,08;1,00;0,91
Accountant;0,93;0,91;0,94;0,02;0,00;0,90;0,03;0,18;0,07;1,00;0,98
Accountant;0,95;0,94;0,81;0,02;0,04;1,00;0,00;0,04;0,03;0,98;1,00
Accountant;0,91;0,96;0,88;0,01;0,03;0,91;0,02;0,02;0,04;0,97;0,98
Accountant;0,88;0,95;0,97;0,04;0,02;0,89;0,04;0,10;0,08;0,96;0,98
Accountant;0,85;1,00;0,84;0,02;0,03;0,93;0,02;0,05;0,09;0,96;0,98
Accountant;0,98;0,95;1,00;0,01;0,02;0,94;0,03;0,14;0,02;0,94;0,99
Accountant;0,81;0,98;0,82;0,02;0,03;0,98;0,04;0,14;0,07;0,94;0,97
Accountant;0,81;0,93;0,92;0,02;0,02;0,95;0,00;0,06;0,02;0,92;0,99
Accountant;0,84;0,97;0,94;0,03;0,08;0,98;0,02;0,27;0,09;0,99;0,98
Accountant;0,95;0,93;0,88;0,01;0,08;1,00;0,04;0,22;0,03;0,91;0,97
Administrative Officer;0,83;0,93;0,94;0,08;0,08;0,97;0,02;0,01;0,08;0,95;0,92
Administrative Officer;0,82;1,00;0,85;0,02;0,00;0,96;0,01;0,09;0,04;0,91;1,00
Administrative Officer;0,82;0,86;0,87;0,10;0,01;0,96;0,10;0,04;0,12;0,97;0,93
Administrative Officer;0,83;0,88;0,97;0,05;0,00;0,98;0,05;0,16;0,06;0,97;0,98
Administrative Officer;0,87;0,84;0,89;0,03;0,08;0,99;0,01;0,01;0,11;0,92;0,96
Administrative Officer;0,84;0,86;0,88;0,02;0,00;0,96;0,07;0,11;0,01;0,95;1,00
Administrative Officer;0,89;0,82;0,96;0,02;0,00;0,99;0,03;0,19;0,11;0,99;0,93
Administrative Officer;0,91;0,85;0,94;0,10;0,07;0,99;0,04;0,06;0,11;0,93;0,92
Administrative Officer;0,91;0,96;0,92;0,01;0,09;0,96;0,06;0,02;0,09;0,96;0,96
Administrative Officer;0,94;0,92;0,86;0,09;0,09;0,99;0,00;0,02;0,02;0,91;0,94
Administrative Officer;0,93;0,85;0,92;0,06;0,03;1,00;0,00;0,03;0,10;0,98;0,99
Administrative Officer;0,81;0,81;0,81;0,08;0,05;0,98;0,09;0,09;0,11;0,89;0,98
Administrative Officer;0,80;0,97;0,81;0,02;0,02;1,00;0,03;0,09;0,11;0,89;0,93
Administrative Officer;0,91;0,88;0,91;0,10;0,09;0,95;0,09;0,09;0,11;0,95;0,92
Administrative Officer;0,93;0,92;0,95;0,03;0,02;1,00;0,05;0,06;0,11;0,99;0,99
Administrative Officer;0,98;1,00;0,85;0,03;0,08;0,97;0,01;0,17;0,01;0,93;0,92
Administrative Officer;0,84;0,87;0,91;0,01;0,04;1,00;0,02;0,20;0,09;0,90;0,97
Administrative Officer;0,86;0,96;0,84;0,03;0,07;0,98;0,09;0,00;0,01;0,96;0,97
Administrative Officer;0,84;0,87;0,87;0,02;0,05;1,00;0,09;0,05;0,01;0,97;0,92
Administrative Officer;0,87;0,82;0,85;0,01;0,10;0,97;0,03;0,20;0,07;0,91;0,97
Administrative Officer;0,81;0,88;0,92;0,06;0,01;0,97;0,07;0,00;0,06;0,91;0,93
Administrative Officer;0,86;0,84;0,87;0,10;0,06;1,00;0,09;0,15;0,07;0,97;0,98
Administrative Officer;0,88;0,89;0,81;0,03;0,06;0,99;0,08;0,17;0,04;0,90;0,94
Administrative Officer;0,85;0,98;1,00;0,02;0,07;0,99;0,00;0,02;0,11;0,94;1,00
Administrative Officer;0,90;0,98;0,97;0,10;0,02;0,95;0,02;0,17;0,04;0,89;1,00
Administrative Officer;0,83;1,00;0,88;0,04;0,09;0,95;0,03;0,10;0,07;0,97;1,00
Administrative Officer;0,82;0,94;0,99;0,08;0,09;0,98;0,00;0,02;0,09;0,90;0,91
Administrative Officer;0,87;0,92;0,88;0,08;0,02;0,96;0,06;0,19;0,06;0,89;0,96
Administrative Officer;0,88;0,89;1,00;0,01;0,02;0,95;0,01;0,11;0,05;0,89;0,91
Administrative Officer;0,80;0,97;0,95;0,09;0,00;0,95;0,08;0,10;0,05;0,93;1,00
Administrative Officer;0,90;0,81;0,97;0,01;0,02;0,98;0,05;0,05;0,01;0,98;0,93
Administrative Officer;0,82;0,81;0,93;0,10;0,03;0,97;0,00;0,05;0,09;0,91;0,92
Administrative Officer;0,88;0,87;1,00;0,09;0,02;0,95;0,10;0,11;0,02;0,97;1,00
Administrative Officer;1,00;0,86;0,91;0,06;0,08;0,97;0,09;0,20;0,04;0,94;0,91
Administrative Officer;1,00;0,89;0,81;0,05;0,06;0,96;0,01;0,07;0,02;0,94;0,99
Administrative Officer;0,82;0,96;0,97;0,10;0,10;0,96;0,09;0,16;0,02;0,94;0,92
Administrative Officer;0,91;0,82;0,83;0,06;0,00;0,96;0,03;0,01;0,04;0,89;1,00
Administrative Officer;1,00;0,89;0,85;0,06;0,04;0,95;0,02;0,09;0,09;1,00;0,95
Administrative Officer;0,87;0,91;0,87;0,04;0,09;0,98;0,10;0,05;0,07;0,89;0,94
Administrative Officer;0,94;0,90;0,92;0,09;0,07;1,00;0,07;0,17;0,02;0,98;0,94
Administrative Officer;0,96;0,87;0,85;0,09;0,04;0,98;0,08;0,20;0,01;0,92;0,93
Administrative Officer;0,85;0,90;0,87;0,10;0,04;0,98;0,08;0,14;0,12;0,99;0,99
Administrative Officer;0,93;0,95;0,88;0,05;0,09;0,98;0,04;0,11;0,11;0,91;0,93
Administrative Officer;0,81;0,92;0,92;0,01;0,00;0,97;0,07;0,08;0,03;0,96;0,92
Administrative Officer;0,81;0,95;0,98;0,02;0,04;0,99;0,03;0,08;0,07;1,00;0,97
Administrative Officer;0,85;0,98;0,94;0,07;0,03;0,98;0,00;0,01;0,11;0,92;0,91
Administrative Officer;0,98;0,89;0,81;0,04;0,10;0,95;0,06;0,04;0,08;0,96;0,95
Administrative Officer;0,81;0,88;0,95;0,08;0,10;0,95;0,09;0,07;0,05;0,96;0,97
Administrative Officer;0,89;0,95;0,93;0,01;0,07;1,00;0,01;0,18;0,01;1,00;0,95
Administrative Officer;0,81;1,00;0,92;0,05;0,02;0,96;0,10;0,03;0,05;0,89;0,92
Administrative Officer;0,99;0,94;0,96;0,09;0,02;0,95;0,00;0,17;0,07;0,93;0,94
Administrative Officer;1,00;0,92;0,96;0,01;0,07;0,95;0,07;0,20;0,01;1,00;0,92
Administrative Officer;0,87;0,86;0,84;0,04;0,00;0,99;0,01;0,03;0,10;0,89;0,98
Administrative Officer;0,95;0,83;0,93;0,08;0,01;0,96;0,02;0,04;0,09;0,98;0,91
Administrative Officer;0,97;0,84;1,00;0,10;0,10;1,00;0,00;0,01;0,11;0,93;0,96
Administrative Officer;1,00;0,93;0,91;0,01;0,02;0,96;0,02;0,08;0,10;0,99;0,97
Administrative Officer;0,96;0,97;0,98;0,05;0,00;1,00;0,04;0,13;0,02;0,98;0,99
Administrative Officer;0,95;0,99;0,92;0,09;0,02;0,95;0,05;0,19;0,06;0,94;0,96
Administrative Officer;0,80;0,95;1,00;0,03;0,06;0,98;0,03;0,06;0,05;0,99;0,92
